iyear,extended,region,nkill,nwound,attacktype1,nperps
1970,0,2,1.0,0.0,1,0.0
1970,0,1,0.0,0.0,6,7.0
1970,0,5,1.0,0.0,1,0.0
1970,0,8,0.0,0.0,3,0.0
1970,0,4,0.0,0.0,7,0.0
1970,0,1,0.0,0.0,2,1.0
1970,0,3,0.0,0.0,1,3.0
1970,0,1,0.0,0.0,3,1.0
1970,0,1,0.0,0.0,7,1.0
1970,0,1,0.0,0.0,7,1.0
1970,0,1,0.0,0.0,3,0.0
1970,0,1,0.0,0.0,7,1.0
1970,0,8,0.0,0.0,4,1.0
1970,0,1,0.0,0.0,7,1.0
1970,0,1,0.0,0.0,7,1.0
1970,0,9,0.0,0.0,3,0.0
1970,0,1,0.0,0.0,3,1.0
1970,0,1,0.0,0.0,3,1.0
1970,0,1,0.0,0.0,7,1.0
1970,0,1,0.0,1.0,7,1.0
1970,0,3,0.0,0.0,2,5.0
1970,0,1,0.0,0.0,3,3.0
1970,0,1,0.0,0.0,3,2.0
1970,0,1,0.0,0.0,7,1.0
1970,0,2,1.0,0.0,1,1.0
1970,0,5,0.0,0.0,3,0.0
1970,0,3,0.0,0.0,6,3.0
1970,0,1,0.0,0.0,3,1.0
1970,0,1,0.0,0.0,7,1.0
1970,0,1,0.0,2.0,2,1.0
1970,0,1,0.0,0.0,3,1.0
1970,0,1,0.0,0.0,2,1.0
1970,0,1,0.0,0.0,7,1.0
1970,0,9,0.0,0.0,7,0.0
1970,0,1,0.0,0.0,3,1.0
1970,0,1,0.0,0.0,3,1.0
1970,0,1,0.0,0.0,3,1.0
1970,0,1,0.0,0.0,7,1.0
1970,0,5,0.0,1.0,9,0.0
1970,0,1,0.0,0.0,3,1.0
1970,0,1,0.0,0.0,7,1.0
1970,0,1,0.0,0.0,2,1.0
1970,0,1,0.0,0.0,7,1.0
1970,0,1,0.0,0.0,7,1.0
1970,0,1,0.0,0.0,7,1.0
1970,0,1,0.0,0.0,3,1.0
1970,0,1,0.0,0.0,3,3.0
1970,0,1,0.0,0.0,3,1.0
1970,0,1,0.0,0.0,3,1.0
1970,0,1,0.0,0.0,7,1.0
